key,Race,Date,distance_km,elevation_gain_m,key_race,finishers,winner_hours,top3_median_hours,km_effort,vertical_share,elite_equivalent_speed
25,PICAIO CIM 2019 - CRONO NOCTURNA,12 January 2019,7.4,460,25,37,0.7275,0.7408333333333333,12.0,0.3833333333333333,16.197975253093365
26,GÓRSKI ZIMOWY MARATON ŚLĘŻAŃSKI 2019 - MARATON,12 January 2019,42.6,1130,26,242,3.5894444444444447,3.6166666666666667,53.900000000000006,0.20964749536178107,14.903225806451614
27,GÓRSKI ZIMOWY MARATON ŚLĘŻAŃSKI 2019 - PÓŁMARATON,12 January 2019,23.9,570,27,338,1.8322222222222222,1.8569444444444445,29.599999999999998,0.1925675675675676,15.940164547494389
28,PICAIO CIM 2019 - PICAIO CIM 24K,13 January 2019,23.0,1300,28,239,2.1197222222222223,2.144722222222222,36.0,0.3611111111111111,16.785390493459396
29,SANDSJÖBACKA TRAIL 2019 - 37K,13 January 2019,37.9,720,29,58,2.906388888888889,2.976111111111111,45.1,0.15964523281596452,15.154004106776181
30,SANDSJÖBACKA TRAIL 2019 - 85K,13 January 2019,89.2,1700,30,62,8.814444444444444,9.1775,106.2,0.160075329566855,11.571778806864614
31,TRAIL D'AVENAS 2019 - 12KM,13 January 2019,12.0,520,31,498,1.0191666666666668,1.0472222222222223,17.2,0.3023255813953489,16.42440318302387
32,TRAIL D'AVENAS 2019 - 29KM,13 January 2019,28.8,1080,32,224,2.42,2.466666666666667,39.6,0.27272727272727276,16.054054054054053
33,TRAIL D'AVENAS 2019 - 42KM,13 January 2019,41.3,1670,33,96,3.6319444444444446,3.6794444444444445,58.0,0.2879310344827586,15.763249282802356
34,AIGA TRAIL 2019,13 January 2019,63.0,1860,34,73,6.035,6.0841666666666665,81.6,0.22794117647058826,13.411861388850841
35,5º TRSA - TRAIL RUN SOCORRO E ARCHEIRA 2019 - TRAIL LONGO 30K,13 January 2019,30.1,1640,35,65,3.2083333333333335,3.401666666666667,46.5,0.35268817204301073,13.669769720725133
36,TRAIL HIVERNAL DES COURSIÈRES 2019 - 31 KM,13 January 2019,30.8,1210,36,699,2.3766666666666665,2.4683333333333333,42.9,0.28205128205128205,17.38014854827819
37,TRAIL HIVERNAL DES COURSIÈRES 2019 - 15 KM,13 January 2019,16.4,630,37,763,1.1133333333333333,1.1580555555555556,22.7,0.2775330396475771,19.601822979131686
38,ULTRA TRILHOS DOS REIS / DELTA CAFÉS 2019 - TRILHOS DOS REIS,13 January 2019,27.9,1210,38,588,2.2808333333333333,2.305833333333333,40.0,0.3025,17.34730755330683
39,ULTRA TRILHOS DOS REIS / DELTA CAFÉS 2019 - ULTRA TRILHOS DOS REIS,13 January 2019,45.8,2110,39,489,3.9547222222222222,4.112222222222222,66.9,0.3153961136023916,16.268576060524186
40,ULTRA TRILHOS DOS REIS / DELTA CAFÉS 2019 - MINI TRILHOS DOS REIS,13 January 2019,15.1,590,40,399,1.1647222222222222,1.1683333333333332,21.0,0.28095238095238095,17.974322396576323
41,SYDNEY TRAIL SERIES - JANUARY 2019 - MANLY DAM - 21KM,13 January 2019,20.6,400,41,167,1.5658333333333334,1.5772222222222223,24.6,0.16260162601626016,15.59704121169426
